timestamp,tweet_text,all_hashtags,retweet_count,tweet_created_at, username,followers_count,target
5/3/2021 0:05,Today's Watchlist includes $GE $MFST $F $SL $MMM $DIS $BAC $WFC $QQQ $INTC $YMC $CM $NKE $GOOGL https://t.co/2KWGoFw1Dq,[],0,5/3/2021 0:05,microcapcompany,7491,neutral
5/3/2021 0:05,"@1MainCapital I don’t think you can answer this without substitutionary behavior. If you nix AMZN it’s only bc you’ll shop online at other stores. APPL only goes if you choose into MSFT and GOOGL. I’d go with no FB and GOOGL. Replace nests, use DuckDuckGo for browsing, and APPL for navigating",[],0,5/3/2021 0:05,retweettosender,1,negative
5/3/2021 0:16,China Says 33 Apps Break Rules in Gathering User Information - Bloomberg.   Googl Fb etc etc. all do this too.   No one will ever admit it.   Will happen forever    Who cares.  I only care if we rip up huge or dive  https://t.co/eOVMU1lRgw,[],4,5/3/2021 0:16,smartertrader,48836,negative
5/3/2021 0:16,[Last 24 Hours]  Stocks trending among elite #fintwit traders:  1. $TSLA 2. $AMZN 3. $AAPL 4. $BTC 5. $ROKU 6. $FB 7. $ETH 8. $GOOGL 9. $TWTR 10. $OCGN  #investing #stocks #wallstreetbets https://t.co/1dUfrwY9Bk,"['fintwit', 'investing', 'stocks', 'wallstreetbets']",0,5/3/2021 0:16,ffinapse,104,positive
5/3/2021 0:17,Mega cap stock and option trading model subscriptions available at Profectus Systems $MSFT $AMZN $GOOGL $AAPL $FB $XOM $JNJ $BABA $GE $T,[],0,5/3/2021 0:17,ProfectuSystems,422,neutral
5/3/2021 0:21,"5/3 WL  $TSLA calls over 718, resistance at 725, 740 $NVDA calls over 606, resistance at 613.5, 621 $SQ calls over 247, resistance at 251, 254 $ROKU calls over 349, resistance at 355, 361 $GOOGL calls over 2375, resistance at 2400  No setup, no trade! 🙂",[],0,5/3/2021 0:21,ColtenRaider,510,positive
5/3/2021 0:23,"$GOOGL weekly outlook: Raising pivot/sup 2295.00 @Google continues to be a beast in 2021, new yearly highs last week. Raising the pivot/support 2295.00, still has room towards the longer term measured move target 2562.00. pmd #StocksToTrade https://t.co/oU6PrhflPH https://t.co/7xgw9fKUnL",['StocksToTrade'],1,5/3/2021 0:23,mktparticipants,1572,positive
5/3/2021 0:25,"@WillPan23822266 Yeah but...  ...it’s exactly the same $GOOGL inv’t thesis from me, jst plug in the latest no’s!  😂🚀🤑",[],0,5/3/2021 0:25,Wexboy_Value,6581,positive
5/3/2021 0:25,"#eth has not so smart ""smart contract"",but indeed no one use that in #eth.u buy it to get appreciation,not for stupid contract never used. still love #bitcoin only. $BTC $LTC $BCH #bitcoin #litecoin #bitcoincash $FB $AMD $AAPL $AMZN $MSFT $NFLX $NVDA $GOOGL $TSLA $GME $AMC $NOK","['eth', 'eth', 'bitcoin', 'bitcoin', 'litecoin', 'bitcoincash']",1,5/3/2021 0:25,solaris23290390,1,neutral
5/3/2021 0:35,"@cperruna @alphacharts365 A lot of folks try to hold bitcoin to a standard they would never hold for a tech stock.  Nobody has any idea what the world will look like in 30 years.  So some future theoretical “bitcoin killer” just doesn’t really matter right now.  Someday AAPL, AMZN, GOOGL will be replaced",[],0,5/3/2021 0:35,henleym25,142,negative
